20,2,stand
20,3,stand
20,4,stand
20,5,stand
20,6,stand
20,7,stand
20,8,stand
20,9,stand
20,10,stand
20,a,stand
19,2,stand
19,3,stand
19,4,stand
19,5,stand
19,6,double
19,7,stand
19,8,stand
19,9,stand
19,10,stand
19,a,stand
18,2,double
18,3,double
18,4,double
18,5,double
18,6,double
18,7,stand
18,8,stand
18,9,hit
18,10,hit
18,a,hit
17,2,hit
17,3,double
17,4,double
17,5,double
17,6,double
17,7,hit
17,8,hit
17,9,hit
17,10,hit
17,a,hit
16,2,hit
16,3,hit
16,4,double
16,5,double
16,6,double
16,7,hit
16,8,hit
16,9,hit
16,10,hit
16,a,hit
15,2,hit
15,3,hit
15,4,double
15,5,double
15,6,double
15,7,hit
15,8,hit
15,9,hit
15,10,hit
15,a,hit
14,2,hit
14,3,hit
14,4,hit
14,5,double
14,6,double
14,7,hit
14,8,hit
14,9,hit
14,10,hit
14,a,hit
13,2,hit
13,3,hit
13,4,hit
13,5,double
13,6,double
13,7,hit
13,8,hit
13,9,hit
13,10,hit
13,a,hit
